COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$ 7,500",,"$ 7,500",High-pressure waterjet cut and capture system to demilitarize underwater munitions,,,,Yes,,,Chemical and Biological Weapons Elimination Technology Improvement,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,To support domestic scale-up of novel high-char polymer composites for hypersonics applications,111,McCormick (GA),,Yes,,,Chemical and Biological Weapons Elimination Technology Improvement,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Air Force"
,"$ 3,000",,"$ 3,000",Data pre-processing to scale use of DOD data for large language models,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 3,800",,"$ 3,000",Warfighter AI data accessibility and analysis program,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 11,000",,,"Cyber defense innovation, research, and workforce",,,,No,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,$ 500,,"Documentation of AI enabled weapons, targeting, and decision support",,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500",,Enhancing data collection and analysis capabilities for fighter aircraft,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000",,,File rights management,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 12,000",,"$ 12,000",Secure document generation pilot program,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 9,500",,,To support the development of a Novel PTS Biomarker Panel,116,McGovern (MA),,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,"$ 2,500",,Ubiquitous technical surveillance lab,,,,Yes,,,Chief Digital and Artificial Intelligence Officer (CDAO) Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 180,906","$ 180,900","$ 180,906",Classified adjustment / Program increase,,,,Yes,,,Classified Program USD(P),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 80,000","$ 47,500","$ 47,500",Anti-tunneling,,,,No,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,000",,Artificial intelligence for explosive ordinance disposal decision support,,,,No,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 55,000","$ 55,000","$ 55,000",C-UAS development including directed energy and laser technology,,,,No,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 47,500","$ 20,000",Emerging technologies cooperation,,,,Yes,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 1,000",,Low cost VTOL precision strike loitering munition,,,,Yes,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 4,000",,Testbed for explosive hazards,,,,Yes,,,Combating Terrorism Technology Support,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 1,000",,Cyber talent and security,,,,Yes,,,Cyber Resiliency and Cybersecurity Policy,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Deep cyber resilience analysis,,,,No,,,Cyber Resiliency and Cybersecurity Policy,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Academic cyber institutes,,,,Yes,,,Cyber Security Research,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 4,000","$ 4,000",Pacific intelligence and innovation initiative,,,,Yes,,,Cyber Security Research,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 3,000",,,Semiconductor supply chain cyber security research,,,,Yes,,,Cyber Security Research,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",University consortium for cybersecurity,,,,Yes,,,Cyber Security Research,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 8,000",,,Autonomous hybrid VTOL for contested logistics,,,,Yes,,,Defense Innovation Acceleration (DIA),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 4,000","$ 4,000",Autonomous electric maritime drones,,,,Yes,,,Defense Innovation Unit (DIU),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 8,000",,Defense innovation onramp hubs geographic expansion,,,,Yes,,,Defense Innovation Unit (DIU),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 15,000",,"$ 15,000",Innovation with academia,,,,No,,,Defense Innovation Unit (DIU),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,000",,Laser wireless power beaming,,,,Yes,,,Defense Innovation Unit (DIU),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000",,"$ 5,000",Onramp hub geographic expansion,,,,No,,,Defense Innovation Unit (DIU),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Advanced robotics and automation training,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500",,Advanced robotics manufacturing demonstration,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 10,000","$ 5,000",Automated manufacturing technologies for very high temperature composites,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Bioindustrial manufacturing education and workforce training,,,,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500",,Digital manufacturing capability training program,,,,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000","$ 6,000","$ 5,000",Hypersonic Advanced Composites Manufacturing / Manufacturing of advanced composites for hypersonics,185,Wilson (SC),,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,Manufacturing education and workforce development,,,,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Nanoscale materials manufacturing,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,000",,Next generation textiles,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,500","$ 3,500",OT and internet-of-things asset identification and management,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 200,000",,Program increase,,,,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 2,500",,,To support research for integrated silicon-based lasers,22,Carbajal (CA),,No,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 8,000",,,Vanadium production and processing,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Veterans workforce program,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 12,000",,"$ 12,000",Nanostructured iron nitride permanent magnets,,,,Yes,,,Defense-Wide Manufacturing Science and Technology Program / Manufacturing Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 7,000","$ 7,000","Unmanned traffic management, test, evaluation, and implementation",,,,No,,,Department of Defense (DOD) Unmanned System Common Development,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 25,000","$ 11,000","$ 25,000",Environmental research-to-demonstration partnership centers,,,,Yes,,,Environmental Security Technical Certification Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500","$ 2,500",Immersion cooling,,,,Yes,,,Environmental Security Technical Certification Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 10,000",,"PFAS clean up, treatment and destruction technologies",,,,No,,,Environmental Security Technical Certification Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Sustainable technology evaluation and demonstration program,,,,No,,,Environmental Security Technical Certification Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 2,500",MOSA high energy laser architecture,,,,Yes,,,High Energy Laser Advanced Technology Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500","$ 2,500",Research activity status pilot program,,,,Yes,,,Historically Black Colleges and Universities/Minority Institutions,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,250",,,Dual-use advanced trauma system,,,,Yes,,,Homeland Defense Technology Transfer Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000","$ 4,000",,Advanced Electrification Demonstration,50,Fitzherald (WI),,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,,"$ 5,000",,Advanced manufacturing pilot program,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000","$ 3,000",,Advanced optics manufacturing / Precision optics manufacturing,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,800",,,Advanced Packaging Infrastructure Enablement Standardized Assembly Design Kits,153,Soto (FL),,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,"$ 2,500",,Automated textile manufacturing,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 7,500","$ 6,000","$ 6,000",Corrosion resistant magnesium coating for aircraft,4,Armstrong (ND),,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,"$ 5,000","$ 5,000",Critical materials processing,,,,No,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000","$ 3,000","Distributed, independent, and agile manufacturing on demand",,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Domestic extrusion of beryllium and beryllium-copper products,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 6,000","$ 2,000","$ 6,000",Expansion of radar and avionics repair and sustainment facilities,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000",,High accuracy maintenance robotics,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 20,000",,,Hypersonics rocket motor cost reduction initiative,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,,"$ 9,000",ICAMS,,,Yes,No,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 2,000",,,Industrial Base Analysis and Sustainment Support for a feasibility study on domestic refining of polymetallic nodules as a resource for critical mineral intermediates,45,Finstad (MN),,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 10,000",,,Industrial Base and Sustainment for Ablative Material Sustainment,46,Finstad (MN),,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 25,000",,,Industrial base expansion & robustness for next-generation aerostructures,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Multi-domain electronic warfare demonstration,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000",,PFAS-free CBRN protective garments,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Pilot mask fit advancement,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Production of critical chemicals for DOD propellants,,,,No,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000",,Rare earth element demonstration,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Resilient manufacturing ecosystem,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Scaled manufacturing of lightweight polymer cased ammunition,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000",,,Securing rare earth separation from foreign influence,,,,No,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 20,000",,,Spheroidizing steel for armor applications,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 1,500",,Supply chain improvement demonstration,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 4,800",,,Thermal batteries,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 8,700",,,Tungsten penetrator manufacturing,,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 22,000",,,Utilizing partnerships for learning and innovation of future talent (UPLIFT),,,,Yes,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Wafer bump upgrades for outsourcesd semiconductor assembly and test,,,,No,,,Industrial Base Analysis and Sustainment,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 25,000","$ 5,000","$ 5,000",Centers for academic excellence in cybersecurity / Centers for academic excellence,,,,Yes,,,Information Systems Security Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Narrative intelligence,,,,Yes,,,Information Systems Security Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 30,000",,,AI & CJADC2 mission applications,,,,No,,,JADC2 Development and Experimentation Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 122,700",,Joint Fires Network (emergency),,,,No,INDOPACOM,Yes,JADC2 Development and Experimentation Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,5th gen advanced training waveform software defined radio,,,,Yes,,,Joint Electronic Advanced Technology,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Integration of UCAH payloads into commercial recoverable MACH-TB test platform,,,,Yes,,,Joint Hypersonic Technology Development & Transition,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Specialized joint research range launch equipment,,,,Yes,,,Joint Hypersonic Technology Development & Transition,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 10,000",,Civil society education and outreach to rural communities program,,,,Yes,,,National Defense Education Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Women in STEAM fellowship,,,,Yes,,,National Defense Education Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000","$ 5,000","$ 5,000",Enhanced LiDAR payload and satellite bus development,,,,Yes,,,National Security Innovation Capital,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000",,,Marine Corps 5G testing for expeditionary operations,,,,Yes,,,Next Generation Information Communications Technology (5G),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,"$ 10,000",Navy fightline 5G network expansion,,,,Yes,,,Next Generation Information Communications Technology (5G),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000","$ 1,000","$ 1,000",Nuclear enterprise supply chain management,,,,Yes,,,Nuclear Matters-Physical Security,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 2,000",,"$ 2,000",Defense ventures fellowship / Defense ventures fellowship programs,,,,Yes,,,Office of Strategic Capital (OSC),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,000",,Distributed maritime energy research,,,,Yes,,,Operational Energy Capability Improvement,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Microreactor optimized tristructural-isotrophic fuel,,,,Yes,,,Operational Energy Capability Improvement,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,PELE Power Conversion Module Operational Enhancement and Risk-Reduction,143,"Pence (IN), Carson (IN), Mrvan (IN), Donalds (FL)",,Yes,,,Operational Energy Capability Improvement,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,"$ 8,000",,Field based airborne power generation system,,,,Yes,,,Operational Energy Capability Improvement - Non S&T,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 5,000",,,Interoperable field ready hybrid power systems,,,,Yes,,,Operational Energy Capability Improvement - Non S&T,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Agile aviation flight demo CUAS drone interceptors at tactical edge,,,,Yes,,,Rapid Prototyping Program,Office of the Secretary of Defense,Defense-Wide,RDT&E,
